title,responsibleOrganisation,publicationDate,category,descriptionFileName,specificationDocuments,documentation,charter,reports,presentations,dateOfRegistration,dateOfAcknowledgementByWorkingGroup,dateOfAcknowledgementBySteeringCommittee,datePublicReviewStart,datePublicReviewEnd,endOfPublicationDate,usage,status
Applicatieprofiel Omgevingsvergunning,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true
Vocabularium Omgevingsvergunning,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Schuldbeheer,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,true,true
Vocabularium Schuldbeheer,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,true,true
Applicatieprofiel Kabels en Leidingen,true,false,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true
Vocabularium Nutsvoorzieningen,true,false,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Vastgoed,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true
Vocabularium Vastgoed,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Slim Ruimtelijk Plannen,true,true,true,true,true,false,true,true,true,false,false,false,false,false,false,true,true
Vocabularium Slim Ruimtelijk Plannen,true,true,true,true,true,false,true,true,true,false,false,false,false,false,false,true,true
OSLO Voorwaarden Dienstverlening,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Incentiveringsplatform,true,true,true,true,true,false,true,true,true,true,true,false,false,false,false,true,true
Vocabularium Incentiveringsplatform,true,true,true,true,true,false,true,true,true,true,true,false,false,false,false,true,true
Applicatieprofiel Verkeersmetingen,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Vocabularium Verkeersmetingen,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Applicatieprofiel Financiële Rapportering,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true
Vocabularium Financiële Rapportering,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true
Applicatieprofiel Bodem,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Vocabularium Bodem,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Bodem en Ondergrond,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Vocabularium Bodem en Ondergrond,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Bodem en Ondergrond Observaties,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Vocabularium Bodem en Ondergrond Observaties,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Bodem en Ondergrond Interpretaties,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Vocabularium Bodem en Ondergrond Interpretaties,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Grondboringen,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Vocabularium Grondboringen,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Grondwatermeetnet,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Vocabularium Grondboringen,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Ruimtelijke Bereiken,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Vocabularium Ruimtelijke Bereiken,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Sonderingen,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Vocabularium Sonderingen,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Sensoren en Bemonstering,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Vocabularium Sensoren en Bemonstering,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Observaties en Metingen,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Vocabularium Observaties en Metingen,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Cultuurparticipatie,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Vocabularium Cultuurparticipatie,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Vocabularium loongegevens,true,true,true,true,true,false,true,true,true,true,true,false,false,true,false,true,true
Applicatieprofiel loongegevens,true,true,true,true,true,false,true,true,true,true,true,false,false,true,false,true,true
Vocabularium Feitelijke Verenigingen,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Feitelijke Verenigingen,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Mobiliteit: Dienstregeling en Planning Stopplaatsen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Applicatieprofiel Mobiliteit: Dienstregeling en Planning Tijdstabellen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Applicatieprofiel Mobiliteit: Dienstregeling en Planning Voertuigplanning,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Vocabularium Mobiliteit: Dienstregeling en Planning,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Vocabularium Persoon,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Applicatieprofiel Persoon basis,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true
Vocabularium Weg,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Applicatieprofiel Wegenregister,true,true,true,true,true,false,true,true,true,true,true,false,false,false,false,true,true
Applicatieprofiel Dienst Transactiemodel,true,true,true,true,true,false,true,true,false,true,true,true,false,false,false,true,true
Vocabularium Transactie,true,true,true,true,true,false,true,true,false,true,true,true,false,false,false,true,true
Vocabularium Dienst,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Applicatieprofiel Dienstencataloog,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Vlaamse Codex,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Vocabularium Organisatie,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Applicatieprofiel Organisatie Basis,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Toeristische Logies Basis,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Vocabularium Toeristische Logies,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Applicatieprofiel Adresregister,true,true,true,true,true,false,true,true,false,true,false,false,false,false,false,true,true
Vocabularium Adres,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Applicatieprofiel Gebouwenregister,true,true,true,true,true,false,true,true,false,true,true,false,false,false,false,true,true
Vocabularium Gebouw,true,true,true,true,true,false,true,true,false,true,true,false,false,false,false,true,true
Applicatieprofiel Inname openbaar domein,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Notificatie Basis,true,true,true,true,true,false,true,true,false,true,true,true,false,false,false,true,true
Vocabularium Notificatie,true,true,true,true,true,false,true,true,false,true,true,true,false,false,false,true,true
Vocabularium Melding,true,true,true,true,true,false,true,true,false,true,true,true,false,false,false,true,true
Applicatieprofiel Issue tracking voor burgers en organisaties,true,true,true,true,true,false,true,true,false,true,true,true,false,false,false,true,true
Applicatieprofiel Generieke Terugmeldfaciliteit,true,true,true,true,true,false,true,true,false,true,true,true,false,false,false,true,true
Applicatieprofiel Dossier,true,true,true,true,true,true,true,true,true,true,false,true,false,false,false,true,true
Vocabularium Dossier,true,true,true,true,true,true,true,true,true,true,false,true,false,false,false,true,true
Applicatieprofiel Besluit Subsidies,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true
Vocabularium Subsidies,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Mobiliteit: Trips en Aanbod,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Vocabularium Mobiliteit Trips en Aanbod,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Vocabularium Netwerk,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Vocabularium Transportnetwerk,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Applicatieprofiel DCAT-AP VL,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true
Generieke Hypermedia API,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Vocabularium Toestemming,true,true,true,true,true,false,true,true,false,true,true,true,false,false,false,true,true
Applicatieprofiel Contactvoorkeuren,true,true,true,true,true,false,true,true,false,true,true,true,false,false,false,true,true
Vocabularium Perceel,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true
Applicatieprofiel Perceel,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true
Vocabularium Bedrijventerrein,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true
Applicatieprofiel Bedrijventerrein,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true
